"Id","Name","Address","NationId","ProvinceId","CityId","WardId","StreetId","CodeId","CodeParentId","OrganizationLevelId","Tag","Status","Description","CreateDate","CreateUserId","UpdateDate","UpdateUserId","LanguageId","UnitCode"
5CE772CA81FC475CBB789A385A9DB699,"Trạm Trồng trọt và Bảo vệ thực vật Khánh Sơn","",,,,,,"009.14.12.H32","000.14.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
ACF5299D04934DA8969BAA902BE65E0D,"Trạm Trồng trọt và Bảo vệ thực vật Diên Khánh","",,,,,,"008.14.12.H32","000.14.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
2845EEF595EA457DABC620C5EB99FC07,"Trạm Trồng trọt và Bảo vệ thực vật Khánh Vĩnh","",,,,,,"010.14.12.H32","000.14.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
9E684D443AFC427AB5B074384E6635A6,"Trạm Trồng trọt và Bảo vệ thực vật Ninh Hòa","",,,,,,"011.14.12.H32","000.14.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
6204D79307CC4AC0ADCD2CFEE832F2E9,"Trạm Trồng trọt và Bảo vệ thực vật Vạn Ninh","",,,,,,"012.14.12.H32","000.14.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
0968B8658C944E21803E176CE155C477,"Ban Quản lý Khu bảo tồn thiên nhiên Hòn Bà","",,,,,,"000.15.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
5BDF5A71DED745A2B1D740B719B8D8B0,"Ban Quản lý rừng phòng hộ Cam Lâm","",,,,,,"000.16.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
2F402B93BCFC474F8012CB68403439C4,"Ban Quản lý rừng phòng hộ Khánh Sơn","",,,,,,"000.17.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
3367DD4F70684B29AFDD1DBAC0A49A40,"Ban Quản lý rừng phòng hộ Ninh Hòa","",,,,,,"000.18.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
A28FE764D61E4B99B453140FF8449018,"Ban Quản lý rừng phòng hộ Vạn Ninh","",,,,,,"000.19.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
3CB7AB78D39F4D4C98B17BC8882DBC5B,"Trung tâm Khuyến Nông","",,,,,,"000.20.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
6B2D11BDA90E499AAFC0ECF726801D59,"Trung tâm Nước sạch và Vệ sinh môi trường nông thôn","",,,,,,"000.21.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
C244D37312504EA197626445E1CBEE8A,"Trung tâm Quản lý khai thác các công trình thủy sản","",,,,,,"000.22.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
F9B9F659593249B1B888E9A6E8432C43,"Trung tâm Nông nghiệp Công nghệ cao","",,,,,,"000.23.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
CAB382820D0D421190A242CFD52CBD12,"Trung tâm Điều tra khảo sát thiết kế Nông nghiệp và PTNT","",,,,,,"000.24.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
5D32BC1E5DC1400B9624BCED727057F4,"Văn phòng Điều phối Chương trình Nông thôn mới","",,,,,,"000.25.12.H32","000.00.12.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
BD0DFB195AF44A4A8282FF3522A558F7,"Sở Tài chính","",,,,,,"000.00.13.H32","000.00.00.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
CE622BB9C15A4733948384FEF8621101,"Lãnh đạo Sở","",,,,,,"000.01.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
D5AB33442B6344DAB927ADD9C90450D9,"Phòng Ngân sách","",,,,,,"000.02.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
90B17DE187924518990A6F968FA96FA9,"Phòng Quản lý Giá và Công sản","",,,,,,"000.03.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
BE59466FA6834EC981139C3FD45F9580,"Phòng Tài chính doanh nghiệp","",,,,,,"000.04.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
537FF16836474EE0AE5BE7F8630ABE9D,"Phòng Tài chính Đầu tư","",,,,,,"000.05.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
AFBC60AAE9744376855BB0C558DA6981,"Phòng Tài chính Hành chính sự nghiệp","",,,,,,"000.06.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
E59D1AFC1F4C42BDB028FCDB0A59238E,"Thanh tra Sở","",,,,,,"000.07.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
28D6C7644B4D4B70A5AA73FB2DDDBC01,"Văn phòng Sở","",,,,,,"000.08.13.H32","000.00.13.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
CA98E06039414789AF57A451574FB795,"Sở Tài nguyên và Môi trường","",,,,,,"000.00.14.H32","000.00.00.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
044B07D65DEE4606981F994423FA9715,"Lãnh đạo Sở","",,,,,,"000.01.14.H32","000.00.14.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
4E84D8F4BFD6471884EF4DA59CC293CA,"Phòng Đo đạc, bản đồ và viễn thám","",,,,,,"000.02.14.H32","000.00.14.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
47E42D16891A4106ABDB06375F2C5734,"Phòng Giá đất và Bồi thường, tái định cư","",,,,,,"000.03.14.H32","000.00.14.H32",F7961E4B7F1C69409A411E692414BB08,"",1,"",31/10/19,"",,"","",""
